date_gsheets,AAPL,KO,NFLX,BRK.B,DIS,IBM,VZ,WMT,GE,TSLA,MA,AMZN,MSFT,UN,V
01/03/2012 16:00,58.75,35.07,10.32,77.68,38.31,186.3,39.73,60.33,18.36,28.08,36.84,179.03,26.77,34.92,25.75
01/04/2012 16:00,59.06,34.85,11.49,76.8,38.85,185.54,39.21,59.71,18.56,27.71,35.63,177.51,27.4,34.45,25.29
01/05/2012 16:00,59.72,34.69,11.33,76.93,39.5,184.66,38.94,59.42,18.55,27.12,35.24,177.61,27.68,34.49,25.48
01/06/2012 16:00,60.34,34.47,12.33,76.39,39.91,182.54,38.33,59,18.65,26.91,34.29,182.61,28.11,33.27,25.18
01/09/2012 16:00,60.25,34.47,14.03,76.29,39.75,181.59,38.37,59.18,18.86,27.25,34.58,178.56,27.74,33.72,24.98
01/10/2012 16:00,60.46,34.67,13.69,77.42,39.63,181.31,38.57,59.04,18.72,27.62,34.88,179.34,27.84,33.91,24.95
01/11/2012 16:00,60.36,34.03,13.16,78,38.7,182.32,38.9,59.4,18.88,28.23,34.15,178.9,27.72,32.85,24.78
01/12/2012 16:00,60.2,33.78,13.16,78.5,38.73,180.55,38.92,59.5,18.93,28.25,34.33,175.93,28,32.95,25.34
1/13/2012 16:00:00,59.97,33.49,13.48,77.77,38.4,179.16,38.92,59.54,18.84,22.79,33.91,178.42,28.25,32.09,25.19
1/17/2012 16:00:00,60.67,33.67,13.53,77.97,38.48,180,39.02,59.85,18.74,26.6,34.6,181.66,28.26,32.37,25.63
1/18/2012 16:00:00,61.3,33.8,14.08,78.92,39.02,181.07,39.01,60.01,19.02,26.81,35.24,189.44,28.23,32.79,25.95
1/19/2012 16:00:00,61.11,33.73,14.78,79.59,39.44,180.52,39,60.61,19.15,26.76,35.29,194.45,28.12,32.64,25.59
1/20/2012 16:00:00,60.04,34.05,14.32,79.91,39.31,188.52,38.97,61.01,19.15,26.6,34.07,190.93,29.71,32.83,25.15
1/23/2012 16:00:00,61.06,34.27,13.42,79.15,39.25,189.98,38.4,60.91,18.94,26.77,33.91,186.09,29.73,32.98,24.9
1/24/2012 16:00:00,60.06,33.95,13.24,78.48,39.25,191.93,37.79,61.39,18.84,27.42,34.27,187,29.34,32.9,25.25
1/25/2012 16:00:00,63.81,34.22,13.58,79.85,39.56,191.73,37.69,61.47,19.13,27.97,34.88,187.8,29.56,33.37,25.14
1/26/2012 16:00:00,63.52,34.01,16.57,79.66,39.35,190.98,37.34,60.97,19.07,28.94,34.78,193.32,29.5,33.39,25.22
1/27/2012 16:00:00,63.9,33.72,17.68,79.42,39.25,190.46,37.21,60.71,19.03,29.33,34.88,195.37,29.23,33.5,25.26
1/30/2012 16:00:00,64.72,33.73,17.92,78.69,38.99,192.5,37.61,61.3,18.9,29.57,35.2,192.15,29.61,33.48,24.97
1/31/2012 16:00:00,65.21,33.77,17.17,78.37,38.9,192.6,37.66,61.36,18.71,29.07,35.56,194.44,29.53,33.35,25.16
02/01/2012 16:00,65.17,33.92,17.57,78.66,39.33,192.62,37.8,62.18,18.77,29.58,35.76,179.46,29.89,34,25.63
02/02/2012 16:00,65.02,33.92,17.71,78.73,38.91,191.53,37.56,61.94,18.75,30.25,38.16,181.72,29.95,32.85,26.52
02/03/2012 16:00,65.67,34.04,18.06,80,40,193.64,37.84,62.03,19.02,31.15,39.03,187.68,30.24,33.32,26.76
02/06/2012 16:00,66.28,34.02,18.46,79.85,40.46,192.82,38.14,61.88,19.05,31.8,39.13,183.14,30.2,33.16,26.84
02/07/2012 16:00,66.98,34.28,18.27,79.88,40.98,193.35,37.92,61.69,19.18,31.6,39.29,184.19,30.35,33.62,26.75
02/08/2012 16:00,68.1,34.17,17.71,79.66,41.27,192.95,37.92,61.62,19.24,31.93,39.49,185.48,30.66,33.19,27.09
02/09/2012 16:00,70.45,33.99,17.83,79.2,41.53,193.13,37.92,61.96,19.13,32.58,39.64,184.98,30.77,33.56,28.11
02/10/2012 16:00,70.49,33.97,17.7,78.79,41.45,192.42,37.69,61.9,18.88,31.1,39.61,185.54,30.5,33.34,28.48
2/13/2012 16:00:00,71.8,34.22,16.9,79.44,41.79,192.62,38.13,61.79,19.07,31.49,39.67,191.59,30.58,33.72,28.18
2/14/2012 16:00:00,72.78,34.45,17.58,78.92,41.6,192.22,38.04,62.22,18.94,33.17,39.56,191.3,30.25,33.75,28.81
2/15/2012 16:00:00,71.1,34.2,17.44,78.07,41.25,192.25,37.83,61.76,18.76,33.6,39.3,184.47,30.05,33.18,28.78
2/16/2012 16:00:00,71.74,34.43,17.42,78.91,41.54,193.02,38.05,62.04,19.01,34.18,39.32,179.93,31.29,33.92,28.45
2/17/2012 16:00:00,71.73,34.53,17.41,79.42,41.75,193.42,38.46,62.48,19.28,34.97,39.6,182.5,31.25,33.78,28.75
2/21/2012 16:00:00,73.55,34.41,16.77,79.63,41.57,193.39,38.49,60.07,19.41,34.5,39.96,182.26,31.44,33.88,28.55
2/22/2012 16:00:00,73.29,34.63,16.06,78.93,41.27,193.87,38.21,58.6,19.39,34.22,40.68,180.58,31.27,33.87,29.09
2/23/2012 16:00:00,73.77,34.59,16.14,79.37,41.48,197.61,38.13,58.54,19.31,34.53,40.61,178.89,31.37,34.21,29.12
2/24/2012 16:00:00,74.63,34.5,15.95,80.04,41.31,197.76,38.14,58.79,19.24,33.75,41.56,179.13,31.48,33.59,29.39
2/27/2012 16:00:00,75.11,34.42,15.63,80.25,41.64,197.53,38.13,58.46,19.07,33.62,42.14,178.53,31.35,33.38,29.22
2/28/2012 16:00:00,76.49,34.42,16.19,79.44,41.93,197.98,38.15,58.93,19.16,33.81,42.4,183.8,31.87,33.52,29.74
2/29/2012 16:00:00,77.49,34.93,15.82,78.45,41.99,196.73,38.11,59.08,19.05,33.41,42,179.69,31.74,33.31,29.09
03/01/2012 16:00,77.78,34.8,16.11,78.78,42.39,197.53,38.43,58.82,19.12,34.41,42.04,180.04,32.29,33.78,29.3
03/02/2012 16:00,77.88,34.59,16.44,78.29,42.36,198.81,38.67,59.01,18.97,34.04,41.28,179.3,32.08,33.13,29.04
03/05/2012 16:00,76.17,34.62,15.83,79.17,42.7,200.66,39,59.4,18.85,33.77,41.76,180.26,31.8,33.49,29.06
03/06/2012 16:00,75.75,34.38,15.3,78.47,42,197.26,38.69,58.97,18.42,33.11,40.83,181.09,31.56,32.64,28.71
03/07/2012 16:00,75.81,34.4,15.03,78.82,41.75,197.77,38.87,59.86,18.77,33.12,41.17,183.77,31.84,33.02,28.91
03/08/2012 16:00,77.43,34.64,15.44,78.87,42.02,199.81,39.22,59.77,19.03,33.07,41.73,187.64,32.01,33.53,29.49
03/09/2012 16:00,77.88,34.76,15.59,79.41,42.24,200.62,39.1,60.08,19.04,34.74,41.95,184.32,31.99,33.44,29.29
03/12/2012 16:00,78.86,35.08,15.17,79.54,42.34,201,39.32,60.68,19.13,36.01,41.99,183.39,32.04,33.87,29.13
3/13/2012 16:00:00,81.16,35.13,15.19,80.76,44.01,203.78,39.48,61,19.59,36.09,42.32,184.59,32.67,34.13,29.32
3/14/2012 16:00:00,84.23,35.11,15.04,80.71,43.48,204.72,39.47,61.08,19.79,35.29,42.14,182.26,32.77,33.83,29.19
3/15/2012 16:00:00,83.65,35.17,15.74,81.34,43.47,206,39.54,61.23,20.16,35,41.96,184.43,32.85,34.03,29.25
3/16/2012 16:00:00,83.65,35.08,15.71,81.07,43.19,206.01,39.57,60.84,20.2,35.32,42.02,185.05,32.6,34.2,29.17
3/19/2012 16:00:00,85.87,35.2,16.33,81.48,43.44,205.72,39.65,60.74,20.21,34.98,42.51,185.52,32.2,34.38,29.71
3/20/2012 16:00:00,86.57,35.3,16.43,81.45,43.24,204.25,39.63,60.6,20.07,34.96,41.9,192.33,31.99,33.84,29.13
3/21/2012 16:00:00,86.07,35.56,17.16,81.21,43.27,204.69,39.78,60.56,20.07,35.15,41.79,191.73,31.91,33.64,29.19
3/22/2012 16:00:00,85.62,35.71,16.96,80.93,43.29,205.49,39.66,60.65,19.85,34.4,41.68,192.4,32,33.54,29.32
3/23/2012 16:00:00,85.15,35.74,17.17,81.38,43.65,205.48,39.42,60.75,19.78,34.08,42.4,195.04,32.01,33.7,29.7
3/26/2012 16:00:00,86.71,35.95,17.43,82.34,44.38,207.77,39.33,61.2,20.05,37.4,43.57,202.87,32.59,34.11,30.02
3/27/2012 16:00:00,87.78,35.94,17.24,81.76,44.15,207.18,38.66,61.09,20.04,37.94,43.07,205.44,32.52,34.03,29.95
3/28/2012 16:00:00,88.23,36.33,16.97,81.78,43.51,207.29,38.26,61.19,20.01,37.85,42.75,201.16,32.19,33.7,29.84
3/29/2012 16:00:00,87.12,36.91,16.44,81.35,43.01,208.27,38.07,60.82,19.95,37.33,42.82,204.61,32.12,33.7,29.75
3/30/2012 16:00:00,85.65,37.01,16.43,81.15,43.78,208.65,38.23,61.2,20.07,37.24,42.05,202.51,32.26,34.03,29.5
04/02/2012 16:00,88.38,37.07,16.28,81.84,43.84,209.47,38.52,61.36,20.02,36.58,43.21,198.05,32.29,34.52,29.75
04/03/2012 16:00,89.9,36.88,16.14,81.54,43.29,209.5,38.46,60.65,19.96,38.01,43.8,199.66,31.94,34.25,30.09
04/04/2012 16:00,89.19,36.73,15.75,81.05,42.93,206.05,38.39,60.26,19.74,35,43.09,193.99,31.21,33.81,29.75
04/05/2012 16:00,90.53,36.74,15.79,80.91,43.08,205.47,37.66,60.67,19.49,34.48,43.99,194.39,31.52,33.24,30.25
04/09/2012 16:00,90.89,36.44,15.24,79.76,42.11,204.94,37.46,60.13,19.2,33.15,43.93,191.87,31.1,33.28,29.88
04/10/2012 16:00,89.78,36.01,14.56,78.7,40.99,202.33,36.8,59.93,18.74,32.46,42.47,186.98,30.47,32.57,29.19
04/11/2012 16:00,89.46,36.06,14.26,79.05,41.37,202.58,37.38,59.8,19.01,33.09,43,187.97,30.35,32.59,29.35
04/12/2012 16:00,88.97,36.11,14.89,80.06,42.15,205.32,37.55,60.14,19.3,33.44,43.4,190.69,30.98,32.51,30.26
4/13/2012 16:00:00,86.46,35.97,14.88,78.82,41.85,202.8,37.26,59.77,18.88,33.59,44.05,188.46,30.81,32.29,30.79
4/16/2012 16:00:00,82.88,36.22,14.45,79.67,41.66,202.72,37.43,60.58,18.9,32.25,43.27,185.5,31.08,32.84,30.21
4/17/2012 16:00:00,87.1,36.98,15.29,80.76,42.68,207.45,37.74,61.87,19.34,32.24,43.84,188.39,31.44,33.26,30.52
4/18/2012 16:00:00,86.91,37.09,15.28,79.74,42.49,200.13,37.66,62.06,19.1,32.66,43.67,191.07,31.14,33.33,30.45
4/19/2012 16:00:00,83.92,36.91,15.3,79.28,42.08,199.51,38.15,61.75,19.14,33.16,43.68,191.1,31.01,33.59,30.3
4/20/2012 16:00:00,81.85,37.07,15.16,78.9,42.35,199.6,38.73,62.45,19.36,33.16,44.04,189.98,32.42,33.94,30.25
4/23/2012 16:00:00,81.67,36.85,14.55,78.8,42.01,198.62,38.57,59.54,19.07,31.94,43.03,188.24,32.12,33.57,29.53
4/24/2012 16:00:00,80.04,37.06,12.53,79.79,42.18,200,39.5,57.77,19.54,31.82,43.03,190.33,31.92,33.68,29.73
4/25/2012 16:00:00,87.14,37.47,12.34,79.94,42.7,203.57,39.48,57.36,19.45,32.91,44.51,194.42,32.2,33.87,30.45
4/26/2012 16:00:00,86.81,37.85,12.15,80.4,43.36,205.58,40.14,58.95,19.62,33.49,45.4,195.99,32.11,35,30.8
4/27/2012 16:00:00,86.14,38.32,11.96,80.56,43.35,206.81,40.23,59.03,19.78,33.34,45.76,226.85,31.98,34.44,30.88
